Id;IdEmpleado;TipoVerif;TipoIngreso;DiaIngreso;HoraIngreso
;916;1;0;2016-09-01;06:00:00
;917;1;0;2016-09-01;06:00:00
;921;1;0;2016-09-01;06:00:00
;929;1;0;2016-09-01;06:00:00
;941;1;0;2016-09-01;06:00:00
;945;1;0;2016-09-01;06:00:00
;947;1;0;2016-09-01;06:00:00
;950;1;0;2016-09-01;06:00:00
;954;1;0;2016-09-01;06:00:00
;971;1;0;2016-09-01;06:00:00
;989;1;0;2016-09-01;06:00:00
;990;1;0;2016-09-01;06:00:00
;1399;1;0;2016-09-01;06:00:00
;3705;1;0;2016-09-01;06:00:00
;3709;1;0;2016-09-01;06:00:00
;3712;1;0;2016-09-01;06:00:00
;922;1;0;2016-09-01;06:00:00
;914;1;0;2016-09-01;07:00:00
;8003;1;0;2016-09-01;07:00:00
;212;1;0;2016-09-01;08:00:00
;318;1;0;2016-09-01;08:00:00
;713;1;0;2016-09-01;08:00:00
;785;1;0;2016-09-01;08:00:00
;842;1;0;2016-09-01;08:00:00
;844;1;0;2016-09-01;08:00:00
;857;1;0;2016-09-01;08:00:00
;919;1;0;2016-09-01;08:00:00
;944;1;0;2016-09-01;08:00:00
;969;1;0;2016-09-01;08:00:00
;982;1;0;2016-09-01;08:00:00
;947;1;0;2016-09-01;10:10:09
;965;1;0;2016-09-01;12:56:39
;754;1;0;2016-09-01;13:00:56
;825;1;0;2016-09-01;13:01:53
;922;1;0;2016-09-01;13:06:14
;808;1;0;2016-09-01;14:46:27
;981;1;0;2016-09-01;14:49:19
;822;1;0;2016-09-01;15:00:00
;455;1;0;2016-09-01;15:00:04
;99;1;0;2016-09-01;15:00:09
;40;1;0;2016-09-01;15:00:15
;986;1;0;2016-09-01;15:00:19
;902;1;0;2016-09-01;15:00:27
;781;1;0;2016-09-01;15:00:31
;990;1;0;2016-09-01;15:00:35
;400;1;0;2016-09-01;15:00:41
;827;1;0;2016-09-01;15:00:46
;915;1;0;2016-09-01;15:00:50
;846;1;0;2016-09-01;15:00:55
;970;1;0;2016-09-01;15:00:59
;820;1;0;2016-09-01;15:01:04
;717;1;0;2016-09-01;15:01:09
;852;1;0;2016-09-01;15:01:13
;882;1;0;2016-09-01;15:01:17
;879;1;0;2016-09-01;15:01:31
;707;1;0;2016-09-01;15:01:36
;815;1;0;2016-09-01;15:01:42
;680;1;0;2016-09-01;15:01:47
;917;1;0;2016-09-01;15:01:52
;900;1;0;2016-09-01;15:02:00
;727;1;0;2016-09-01;15:02:06
;379;1;0;2016-09-01;15:02:18
;498;1;0;2016-09-01;15:02:33
;927;1;0;2016-09-01;15:02:48
;204;1;0;2016-09-01;15:03:20
;797;1;0;2016-09-01;15:05:52
;935;1;0;2016-09-01;15:06:35
;249;1;0;2016-09-01;15:07:56
;954;1;0;2016-09-01;15:08:42
;8003;1;0;2016-09-01;15:54:59
;879;1;0;2016-09-01;16:00:00
;731;1;0;2016-09-01;16:00:04
;501;1;0;2016-09-01;16:00:10
;658;1;0;2016-09-01;16:00:14
;1397;1;0;2016-09-01;16:00:20
;1379;1;0;2016-09-01;16:00:57
;746;1;0;2016-09-01;16:02:10
;744;1;0;2016-09-01;16:04:08
;891;1;0;2016-09-01;16:05:21
;921;1;0;2016-09-01;16:07:07
;814;1;0;2016-09-01;16:11:39
;932;1;0;2016-09-01;16:30:10
;785;1;0;2016-09-01;16:50:44
;681;2;0;2016-09-01;16:50:52
;809;1;0;2016-09-01;16:52:01
;829;1;0;2016-09-01;16:54:06
;918;1;0;2016-09-01;16:54:10
;693;1;0;2016-09-01;17:00:04
